2026-01-04 19:53:45 | AgenticSystem             | INFO     | ============================================================
2026-01-04 19:53:45 | AgenticSystem             | INFO     | AGENTIC CASCADE FAILURE DETECTION SYSTEM
2026-01-04 19:53:45 | AgenticSystem             | INFO     | ============================================================
2026-01-04 19:53:45 | AgenticSystem             | INFO     | Creating agents...
2026-01-04 19:53:45 | Agent.CoordinationAgent   | DEBUG    | Registered capability: agent_management
2026-01-04 19:53:45 | Agent.CoordinationAgent   | DEBUG    | Registered capability: task_scheduling
2026-01-04 19:53:45 | Agent.CoordinationAgent   | DEBUG    | Registered capability: pipeline_coordination
2026-01-04 19:53:45 | Agent.DataAcquisitionAgent | DEBUG    | Registered capability: environmental_data_acquisition
2026-01-04 19:53:45 | Agent.DataAcquisitionAgent | DEBUG    | Registered capability: infrastructure_data_acquisition
2026-01-04 19:53:45 | Agent.DataAcquisitionAgent | DEBUG    | Registered capability: robotic_data_acquisition
2026-01-04 19:53:45 | Agent.PredictionAgent     | DEBUG    | Registered capability: cascade_prediction
2026-01-04 19:53:45 | Agent.PredictionAgent     | DEBUG    | Registered capability: node_risk_assessment
2026-01-04 19:53:45 | Agent.RiskAssessmentAgent | DEBUG    | Registered capability: risk_aggregation
2026-01-04 19:53:45 | Agent.RiskAssessmentAgent | DEBUG    | Registered capability: alert_generation
2026-01-04 19:53:45 | Agent.RiskAssessmentAgent | DEBUG    | Registered capability: mitigation_planning
2026-01-04 19:53:45 | AgenticSystem             | INFO     | All agents created
2026-01-04 19:53:45 | AgenticSystem             | INFO     | Registering agents with coordinator...
2026-01-04 19:53:45 | MessageBus                | INFO     | Registered agent: DataAcquisitionAgent (data_acquisition)
2026-01-04 19:53:45 | Agent.CoordinationAgent   | INFO     | Registered agent: DataAcquisitionAgent (data_acquisition)
2026-01-04 19:53:45 | MessageBus                | INFO     | Registered agent: PredictionAgent (prediction)
2026-01-04 19:53:45 | Agent.CoordinationAgent   | INFO     | Registered agent: PredictionAgent (prediction)
2026-01-04 19:53:45 | MessageBus                | INFO     | Registered agent: RiskAssessmentAgent (risk_assessment)
2026-01-04 19:53:45 | Agent.CoordinationAgent   | INFO     | Registered agent: RiskAssessmentAgent (risk_assessment)
2026-01-04 19:53:45 | MessageBus                | INFO     | Registered agent: ThreatResponseAgent (threat_response)
2026-01-04 19:53:45 | Agent.CoordinationAgent   | INFO     | Registered agent: ThreatResponseAgent (threat_response)
2026-01-04 19:53:45 | MessageBus                | INFO     | Registered agent: GridStabilizationAgent (grid_stabilization)
2026-01-04 19:53:45 | Agent.CoordinationAgent   | INFO     | Registered agent: GridStabilizationAgent (grid_stabilization)
2026-01-04 19:53:45 | AgenticSystem             | INFO     | All agents registered
2026-01-04 19:53:45 | AgenticSystem             | INFO     | Starting multi-agent system...
